city,pool,garage,sqft,bed,bath,price
Santa Monica,no,no,2326,2,1,979390
Long Beach,no,yes,2443,3,2,758731
Santa Monica,no,no,2583,7,6,851831
Long Beach,no,no,2064,1,1,853355
Long Beach,no,yes,1893,3,2,504741
Long Beach,no,yes,2519,4,3,616693
Santa Monica,yes,no,1578,3,2,420931
Long Beach,no,no,2089,4,3,263005
Long Beach,no,yes,3160,8,7,966942
Long Beach,yes,yes,1902,3,2,646000
Long Beach,no,yes,1547,1,1,613408
Long Beach,no,yes,2427,6,5,420842
Long Beach,no,yes,1818,1,1,613978
Westwood,no,yes,1640,5,4,771102
Santa Monica,no,yes,2482,4,3,793338
Westwood,no,yes,2270,4,3,667739
Long Beach,yes,yes,1846,4,3,840698
Long Beach,no,no,2736,5,4,575324
Long Beach,no,yes,1930,2,1,472143
Long Beach,no,yes,1788,2,1,541964
Long Beach,yes,no,1506,2,1,543442
Long Beach,no,no,2043,5,4,810392
Santa Monica,no,no,1835,3,2,514163
Long Beach,no,yes,2265,5,4,353853
Westwood,yes,yes,2325,3,2,618415
Westwood,no,yes,2303,5,4,678605
Long Beach,no,no,2321,4,3,980351
Long Beach,no,yes,1944,2,1,646688
Santa Monica,no,yes,2203,4,3,848208
Long Beach,no,no,1531,3,2,683021
Santa Monica,no,yes,1964,3,2,869701
Long Beach,yes,yes,1452,2,1,386543
Westwood,yes,yes,2392,6,5,700815
Long Beach,no,yes,1196,2,1,211608
Long Beach,no,no,2321,4,3,980351
Santa Monica,no,yes,2473,5,4,788652
Santa Monica,no,yes,1797,5,4,793342
Westwood,no,yes,2708,3,2,723423
Long Beach,no,yes,2682,3,2,523106
Westwood,no,yes,1926,2,1,481111
Long Beach,no,no,2228,6,5,641973
Long Beach,no,no,1935,3,2,481304
Santa Monica,no,yes,2343,1,1,537227
Long Beach,no,no,1648,1,1,267285
Long Beach,no,yes,2192,5,4,817451
Long Beach,no,yes,1771,4,3,594603
Westwood,no,yes,1591,2,1,731311
Westwood,no,yes,2432,4,3,721060
Santa Monica,yes,yes,1844,2,1,683318
Long Beach,no,yes,1961,1,1,714715
Westwood,yes,yes,1194,2,1,476000
Santa Monica,no,no,1766,4,3,920005
Santa Monica,no,yes,1758,3,2,679314
Westwood,no,no,1812,2,1,282702
Santa Monica,no,yes,1731,2,1,391093
Long Beach,yes,yes,2217,4,3,460316
Westwood,yes,yes,1596,2,1,333974
Westwood,yes,yes,2679,1,1,495335
Long Beach,no,yes,1739,2,1,198103
Long Beach,no,yes,1805,1,1,433080
Long Beach,no,yes,1877,4,3,373094
Westwood,yes,yes,1740,2,1,612018
Westwood,no,yes,1763,4,3,456424
Long Beach,no,no,2616,4,3,887765
Westwood,no,no,1651,2,1,523417
Long Beach,no,no,2715,4,3,416797
Westwood,no,no,1431,3,2,243554
Long Beach,yes,yes,2232,1,1,304890
Santa Monica,no,yes,1993,2,1,751150
Long Beach,no,yes,2129,3,2,709393
Long Beach,no,yes,2204,2,1,711320
Westwood,no,yes,1792,2,1,575224
Westwood,yes,yes,2129,3,2,497973
Long Beach,no,yes,1896,4,3,364388
Long Beach,yes,yes,2217,4,3,460316
Long Beach,no,yes,2393,2,1,501166
Long Beach,no,no,1544,2,1,388119
Westwood,no,yes,1992,3,2,660793
Long Beach,no,yes,2352,8,7,269346
Long Beach,no,yes,2534,6,5,853622
Westwood,no,yes,1802,3,2,312126
Long Beach,no,no,2276,2,1,705630
Santa Monica,yes,no,2560,3,2,930190
Santa Monica,no,no,2235,1,1,755836
Long Beach,no,yes,2107,2,1,617618
Westwood,no,yes,1444,4,3,602473
Long Beach,no,no,2309,2,1,435128
Long Beach,no,yes,1898,2,1,388988
Long Beach,no,no,2190,2,1,584144
Westwood,no,yes,2242,6,5,1235330
Westwood,no,yes,1975,1,1,551193
Long Beach,yes,yes,1721,3,2,211932
Westwood,yes,yes,1372,4,3,357526
Long Beach,no,yes,2544,4,3,650309
Santa Monica,no,yes,2112,5,4,625244
Westwood,no,yes,1991,3,2,516402
Santa Monica,no,no,1320,3,2,671408
Santa Monica,no,yes,2485,1,1,758717
Santa Monica,no,yes,1958,3,2,688624
Santa Monica,no,yes,2067,6,5,563987
Santa Monica,no,no,2591,5,4,757919
Westwood,yes,no,1776,2,1,642200
Santa Monica,no,yes,1770,2,1,693342
Westwood,no,yes,1382,1,1,411401
Santa Monica,no,no,1568,3,2,361865
Long Beach,yes,no,1960,6,5,313758
Long Beach,no,no,2444,2,1,540328
Westwood,no,yes,1594,1,1,609299
Westwood,no,no,1895,2,1,425752
Long Beach,no,yes,2152,2,1,444952
Santa Monica,no,yes,2546,6,5,821227
Long Beach,yes,yes,2390,4,3,649544
Westwood,no,no,1829,3,2,358833
Long Beach,no,no,1852,3,2,388376
Santa Monica,no,yes,2293,4,3,723278
Long Beach,no,yes,1973,3,2,302921
Long Beach,no,yes,2145,3,2,234485
Long Beach,no,yes,2446,3,2,805610
Long Beach,no,yes,2312,2,1,474843
Westwood,no,yes,1402,1,1,367570
Long Beach,no,yes,2253,4,3,698558
Long Beach,yes,yes,1535,4,3,735406
Westwood,no,yes,1773,6,5,424703
Westwood,no,no,2123,4,3,596950
Westwood,no,yes,994,2,1,312171
Long Beach,yes,yes,2286,2,1,666681
Santa Monica,no,yes,2494,2,1,1008486
Westwood,yes,yes,1965,4,3,708863
Long Beach,no,yes,1743,1,1,639525
Westwood,yes,yes,1500,2,1,280526
Long Beach,yes,yes,2023,3,2,534220
Santa Monica,no,yes,1602,1,1,583093
Long Beach,no,no,2366,4,3,763874
Long Beach,no,yes,2099,4,3,627483
Long Beach,no,yes,1437,1,1,411065
Santa Monica,no,yes,1500,1,1,595932
Santa Monica,no,yes,1766,2,1,778358
Santa Monica,no,yes,2086,2,1,663936
Westwood,no,yes,2419,4,3,939113
Long Beach,no,yes,2085,2,1,518907
Long Beach,no,yes,2314,4,3,682291
Santa Monica,no,yes,1637,4,3,560457
Santa Monica,no,yes,1988,4,3,368082
Santa Monica,no,yes,2456,3,2,890124
Long Beach,no,yes,1690,4,3,581778
Westwood,no,yes,2510,1,1,765919
Westwood,no,yes,2344,2,1,932959
Santa Monica,yes,yes,2679,5,4,1326655
Westwood,no,yes,1810,2,1,406415
Long Beach,no,yes,2041,2,1,569427
Long Beach,yes,yes,1829,5,4,210695
Long Beach,no,yes,1734,2,1,280850
Santa Monica,no,no,2876,4,3,1073534
Westwood,no,yes,1872,4,3,688748
Santa Monica,no,yes,1796,4,3,286122
Long Beach,no,yes,2016,4,3,689623
Long Beach,no,no,2309,2,1,435128
Westwood,no,yes,1752,4,3,591670
Westwood,no,yes,2612,2,1,446435
Westwood,no,yes,2339,2,1,640064
Westwood,no,yes,2211,4,3,501501
Westwood,no,yes,2387,4,3,804831
Long Beach,yes,yes,1324,4,3,410398
Westwood,yes,yes,1797,5,4,491693
Long Beach,no,no,1241,1,1,235849
Long Beach,yes,yes,1383,1,1,196748
Long Beach,yes,yes,1838,3,2,512357
Long Beach,no,no,1828,3,2,298777
Santa Monica,yes,no,1707,4,3,902535
Long Beach,yes,yes,1969,5,4,718021
Long Beach,no,yes,2125,4,3,602701
Long Beach,no,no,2157,5,4,550160
Santa Monica,no,yes,2488,5,4,1163641
Westwood,no,yes,1872,4,3,688748
Westwood,no,yes,2217,2,1,631953
Long Beach,no,no,1705,1,1,432815
Long Beach,no,yes,2293,3,2,569233
Westwood,no,no,2141,5,4,669785
Westwood,no,no,2082,3,2,472326
Santa Monica,no,yes,2451,2,1,564827
Long Beach,no,yes,2264,4,3,511478
Westwood,no,yes,1921,1,1,599686
Santa Monica,yes,no,1745,1,1,435368
Long Beach,no,yes,1657,2,1,576996
Santa Monica,no,yes,1874,4,3,518863
Westwood,no,yes,2114,2,1,333983
Long Beach,no,yes,2346,4,3,548867
Westwood,no,yes,1682,2,1,515705
Santa Monica,yes,yes,2043,5,4,659012
Long Beach,no,yes,1383,2,1,524992
Long Beach,yes,yes,1691,3,2,494397
Santa Monica,yes,yes,1728,2,1,699097
Long Beach,no,no,2515,3,2,667176
Westwood,yes,yes,2038,6,5,653770
Santa Monica,no,yes,2283,4,3,1071611
Long Beach,no,yes,2325,4,3,430668
Westwood,yes,no,2482,1,1,852197
Westwood,no,no,2432,1,1,602090
Long Beach,no,yes,2486,7,6,502904
Santa Monica,no,yes,2327,5,4,949609
Long Beach,yes,no,1964,3,2,654029
Santa Monica,yes,yes,1899,1,1,1022895
Westwood,no,yes,1335,1,1,851169
Westwood,yes,yes,1918,1,1,702011
Santa Monica,no,yes,1586,4,3,319023
Westwood,no,no,1567,3,2,642007
Santa Monica,no,yes,1720,1,1,610634
Santa Monica,no,yes,2301,4,3,886222
Santa Monica,no,yes,1605,2,1,835784
Westwood,no,yes,1912,1,1,194155
Long Beach,no,yes,1986,3,2,618414
Long Beach,no,yes,1731,3,2,206493
Long Beach,no,no,1979,1,1,657345
Westwood,no,yes,2219,4,3,308871
Long Beach,no,no,1464,1,1,827750
Westwood,no,yes,1903,2,1,674647
Westwood,no,no,1829,3,2,358833
Long Beach,no,yes,2403,2,1,337353
Santa Monica,yes,no,1577,2,1,694528
Long Beach,no,yes,2679,3,2,818832
Long Beach,no,no,2073,2,1,793113
Long Beach,yes,no,1670,1,1,180906
Santa Monica,yes,no,2542,2,1,962822
Long Beach,no,no,1396,2,1,472043
Long Beach,no,yes,1902,2,1,389951
Santa Monica,yes,yes,1804,2,1,600316
Westwood,no,yes,1967,2,1,527822
Westwood,no,no,2136,2,1,349656
Santa Monica,no,yes,2722,5,4,965970
Santa Monica,no,no,1450,3,2,719794
Long Beach,no,no,2671,4,3,451446
Long Beach,no,no,1593,1,1,576175
Santa Monica,no,yes,1625,1,1,397966
Long Beach,no,yes,1845,2,1,363127
Long Beach,no,yes,2020,5,4,594335
Westwood,yes,yes,2069,4,3,408340
Long Beach,yes,no,2830,3,2,660188
Long Beach,no,no,2424,4,3,697399
Long Beach,no,yes,1949,2,1,681055
Long Beach,no,no,2064,1,1,853355
Westwood,no,yes,2222,2,1,454282
Long Beach,yes,yes,2920,4,3,610119
Long Beach,no,no,2179,2,1,569665
Long Beach,yes,yes,1911,4,3,344258
Long Beach,yes,yes,1324,4,3,410398
Long Beach,no,no,2530,2,1,786842
Long Beach,no,yes,1500,6,5,277941
Westwood,no,no,1867,2,1,344465
Santa Monica,yes,yes,2610,3,2,622561
Westwood,no,yes,1323,3,2,397328
Long Beach,no,no,1241,1,1,235849
Long Beach,no,no,1623,2,1,437275
Long Beach,no,no,2302,6,5,666102
Westwood,no,no,2050,4,3,864114
Long Beach,no,yes,1785,1,1,436892
Westwood,no,no,2102,7,6,609076
Westwood,no,yes,1988,2,1,143570
Long Beach,yes,yes,1502,3,2,294980
Long Beach,no,yes,2134,4,3,484586
Santa Monica,no,yes,1891,2,1,501562
Santa Monica,no,yes,1599,1,1,899644
Westwood,no,yes,2100,4,3,488778
Santa Monica,no,yes,2234,4,3,661371
Santa Monica,no,yes,2191,3,2,791761
Long Beach,no,yes,1798,2,1,560901
Long Beach,no,yes,1902,3,2,560119
Santa Monica,no,no,1576,2,1,264804
Santa Monica,no,yes,2308,3,2,339271
Long Beach,no,yes,2212,2,1,491756
Santa Monica,yes,yes,2201,3,2,727653
Santa Monica,yes,yes,1994,3,2,495434
Long Beach,no,yes,1297,1,1,251495
Westwood,no,no,1623,4,3,417524
Long Beach,no,no,2229,4,3,202983
Long Beach,no,yes,1936,2,1,443307
Long Beach,no,yes,2666,2,1,419931
Santa Monica,no,yes,1952,2,1,504019
Santa Monica,no,yes,2249,5,4,943937
Long Beach,no,yes,1514,3,2,318686
Santa Monica,no,no,1827,3,2,540632
Westwood,no,yes,1792,3,2,809427
Long Beach,no,yes,1293,2,1,338512
Long Beach,no,yes,1576,1,1,177418
Westwood,no,yes,1792,3,2,809427
Westwood,no,yes,1896,2,1,385973
Long Beach,no,yes,2769,3,2,452448
Westwood,no,yes,1479,1,1,639505
Long Beach,no,yes,2393,5,4,919095
Santa Monica,no,yes,2073,3,2,718288
Long Beach,yes,yes,2398,4,3,520874
Long Beach,no,no,2378,4,3,981067
Long Beach,no,yes,1924,2,1,689683
Long Beach,no,yes,1826,3,2,188054
Santa Monica,yes,yes,1828,3,2,516841
Santa Monica,no,yes,2848,3,2,607502
Westwood,no,yes,1480,2,1,465961
Long Beach,no,yes,1430,2,1,298148
Long Beach,no,yes,1745,3,2,623912
Long Beach,no,yes,1937,4,3,564894
Long Beach,no,no,2718,5,4,936717
Long Beach,yes,yes,2226,5,4,257586
Long Beach,no,yes,1739,1,1,193120
Westwood,no,yes,1533,2,1,283356
Westwood,no,yes,2095,2,1,987576
Santa Monica,no,yes,2739,3,2,907181
Westwood,yes,yes,1942,2,1,235337
Long Beach,no,no,2150,3,2,577637
Santa Monica,yes,yes,1549,5,4,193057
Santa Monica,no,no,2167,2,1,765026
Westwood,no,no,2535,7,6,722436
Long Beach,no,no,2063,4,3,582364
Long Beach,no,yes,1393,3,2,689624
Long Beach,yes,yes,2256,2,1,773949
Westwood,no,yes,1868,5,4,342003
Long Beach,no,no,2448,4,3,725422
Santa Monica,no,yes,1881,2,1,699117
Long Beach,no,yes,2140,3,2,536502
Westwood,no,no,2630,3,2,1307888
Santa Monica,no,yes,2128,3,2,579605
Long Beach,no,yes,1734,2,1,280850
Long Beach,yes,yes,1345,1,1,195878
Long Beach,no,yes,1572,1,1,297550
Santa Monica,no,yes,2054,4,3,1085448
Long Beach,yes,yes,2147,2,1,551272
Long Beach,no,no,1707,7,6,193309
Long Beach,no,yes,1769,4,3,858387
Westwood,no,yes,1912,3,2,575240
Westwood,no,yes,1770,3,2,745398
Long Beach,yes,no,1506,2,1,543442
Long Beach,yes,yes,1958,4,3,510503
Santa Monica,no,yes,2413,4,3,692382
Santa Monica,no,no,1840,2,1,413197
Santa Monica,no,no,2487,2,1,826802
Santa Monica,no,no,2635,3,2,717343
Westwood,no,yes,2219,4,3,308871
Westwood,no,no,1746,1,1,364134
Santa Monica,no,yes,1351,4,3,928364
Long Beach,yes,yes,2058,4,3,841680
Long Beach,no,no,1999,5,4,260247
Long Beach,yes,no,2354,4,3,369426
Westwood,no,yes,2401,5,4,815501
Westwood,no,yes,1909,3,2,349532
Long Beach,no,yes,2446,3,2,805610
Long Beach,no,no,2382,3,2,519700
Long Beach,no,no,1952,3,2,526994
Westwood,yes,yes,1779,2,1,329071
Santa Monica,no,yes,1760,2,1,560139
Long Beach,yes,yes,1967,2,1,657335
Westwood,no,no,2162,6,5,1069567
Long Beach,no,yes,2293,1,1,976859
Long Beach,no,yes,2265,5,4,353853
Santa Monica,no,yes,1333,2,1,233637
Long Beach,no,yes,1976,3,2,840761
Long Beach,yes,yes,2539,6,5,319297
Westwood,no,no,1867,2,1,344465
Long Beach,no,yes,1707,1,1,382757
Westwood,no,no,2620,3,2,961524
Westwood,no,yes,2159,2,1,794173
Long Beach,no,yes,2464,2,1,363078
Santa Monica,yes,yes,2366,2,1,1190003
Westwood,no,yes,1885,2,1,410715
Santa Monica,no,no,2583,5,4,876463
Long Beach,no,no,1705,1,1,432815
Long Beach,no,yes,1968,2,1,223376
Santa Monica,yes,yes,1944,1,1,710411
Long Beach,no,no,2448,4,3,725422
Westwood,no,yes,2930,5,4,936382
Santa Monica,yes,yes,1670,5,4,559392
Long Beach,no,yes,2057,2,1,374349
Santa Monica,no,yes,2631,5,4,808902
Long Beach,no,yes,2155,4,3,810622
Westwood,no,yes,1840,5,4,615006
Westwood,no,yes,1591,2,1,731311
Long Beach,no,yes,1752,4,3,415408
Long Beach,yes,yes,1631,6,5,311777
Santa Monica,yes,yes,2477,3,2,996030
Santa Monica,yes,no,2245,3,2,710187
Long Beach,no,no,2202,4,3,239246
Long Beach,no,no,1639,3,2,438897
Long Beach,no,yes,1634,2,1,340536
Long Beach,no,yes,1367,1,1,380408
Santa Monica,no,no,2180,5,4,1001621
Long Beach,no,yes,1832,4,3,804839
Long Beach,no,yes,2611,4,3,737362
Santa Monica,yes,yes,2041,1,1,918344
Westwood,yes,yes,2139,7,6,525422
Long Beach,yes,yes,2206,4,3,273030
Santa Monica,no,no,1766,4,3,920005
Long Beach,no,no,1980,1,1,839866
Long Beach,no,no,1745,3,2,522425
Long Beach,no,yes,1782,4,3,713042
Santa Monica,yes,no,2276,4,3,775658
Long Beach,no,no,1682,2,1,658777
Long Beach,no,yes,2599,3,2,887051
Long Beach,no,yes,2029,4,3,523812
Long Beach,no,no,2003,1,1,723028
Santa Monica,yes,yes,2086,5,4,885086
Long Beach,no,yes,1684,1,1,560133
Westwood,no,yes,2181,5,4,484245
Long Beach,no,yes,2673,5,4,504916
Long Beach,yes,yes,1838,3,2,512357
Long Beach,yes,no,1765,4,3,569342
Long Beach,no,yes,2750,7,6,845665
Santa Monica,no,no,1994,4,3,830145
Santa Monica,no,yes,2716,3,2,821135
Santa Monica,no,no,1527,1,1,623977
Westwood,no,no,1459,2,1,561802
Long Beach,no,yes,2240,3,2,575245
Westwood,no,yes,2121,2,1,1052361
Westwood,no,no,1481,3,2,558907
Westwood,yes,no,1935,3,2,935279
Westwood,no,yes,1672,1,1,177858
Westwood,yes,yes,1725,4,3,269096
Santa Monica,yes,no,1578,3,2,420931
Long Beach,no,yes,2287,6,5,503878
Long Beach,no,yes,1849,2,1,196426
Santa Monica,no,yes,2105,5,4,1168925
Long Beach,yes,yes,1969,5,4,718021
Long Beach,yes,yes,2204,5,4,550733
Westwood,yes,yes,2283,4,3,737950
Long Beach,no,yes,1640,2,1,374171
Westwood,no,yes,2237,4,3,529920
Santa Monica,yes,yes,1286,2,1,520926
Long Beach,no,no,2166,5,4,161978
Westwood,no,yes,2181,5,4,484245
Long Beach,no,no,2126,5,4,582725
Long Beach,no,yes,2275,2,1,768133
Santa Monica,yes,yes,1938,2,1,652311
Long Beach,no,yes,2222,4,3,723263
Long Beach,yes,yes,1316,2,1,612266
Westwood,yes,yes,2943,5,4,518295
Santa Monica,no,yes,2301,4,3,886222
Westwood,no,yes,2296,3,2,802187
Long Beach,no,no,1965,1,1,230393
Santa Monica,no,no,1754,4,3,414713
Westwood,yes,no,2075,2,1,541588
Long Beach,no,no,2285,2,1,707966
Long Beach,no,no,1667,2,1,584346
Santa Monica,yes,yes,2212,2,1,865009
Santa Monica,no,yes,2232,4,3,415272
Westwood,yes,yes,1766,3,2,645120
Santa Monica,no,no,2591,5,4,757919
Westwood,no,yes,2411,4,3,490167
Westwood,no,yes,2125,2,1,770614
Santa Monica,no,yes,1449,6,5,416120
Long Beach,no,yes,1702,1,1,457062
Long Beach,no,no,2584,2,1,931407
Long Beach,yes,yes,1954,3,2,855746
Long Beach,yes,no,2501,2,1,974209
Westwood,no,yes,1413,3,2,857467
Santa Monica,no,no,2483,7,6,1020393
Long Beach,no,no,2234,3,2,686934
Santa Monica,no,yes,2153,2,1,773409
Santa Monica,yes,yes,1945,6,5,809897
Westwood,no,yes,1646,3,2,342168
Long Beach,yes,yes,2300,3,2,643177
Long Beach,no,no,1449,1,1,576315
Santa Monica,yes,yes,1775,4,3,186711
Westwood,no,yes,1786,2,1,466734
Santa Monica,no,yes,1968,3,2,1131082
Long Beach,no,yes,1598,4,3,371979
Santa Monica,yes,yes,1494,1,1,261250
Long Beach,no,yes,2314,4,3,682291
Long Beach,no,yes,1754,3,2,727862
Santa Monica,yes,yes,2041,3,2,637265
Long Beach,no,no,1249,1,1,414994
Westwood,no,yes,1544,1,1,372883
Westwood,no,no,2620,3,2,961524
Long Beach,no,yes,2063,3,2,369664
Long Beach,yes,yes,2320,2,1,803724
Long Beach,no,yes,1893,3,2,504741
Westwood,yes,no,1600,1,1,588382
Long Beach,no,yes,1669,3,2,871961
Westwood,no,yes,1837,5,4,334486
Westwood,yes,yes,2227,1,1,617041
Santa Monica,yes,yes,1379,2,1,421147
Long Beach,yes,yes,2390,4,3,649544
Long Beach,no,no,2505,4,3,302963
Long Beach,yes,no,1501,1,1,96643
Santa Monica,no,yes,1917,3,2,869838
Santa Monica,yes,yes,2140,2,1,834434
Long Beach,no,yes,2425,3,2,495230
Santa Monica,no,yes,1406,1,1,268297
Long Beach,no,yes,1700,3,2,874654
Long Beach,no,yes,1956,2,1,682802
Long Beach,no,no,2736,5,4,575324
Long Beach,no,yes,2003,6,5,173384
Long Beach,no,yes,2059,3,2,875117
Long Beach,no,yes,2104,3,2,615986
Long Beach,no,yes,2063,2,1,585053
Westwood,no,yes,1757,4,3,602739
Long Beach,no,yes,2514,2,1,541116
Long Beach,no,yes,1327,4,3,237904
Long Beach,no,yes,2181,4,3,400222
Westwood,no,yes,1932,4,3,612250
Westwood,no,no,2988,1,1,956639
Long Beach,no,yes,1983,2,1,438328
Westwood,no,yes,1502,3,2,664518
Long Beach,no,yes,1634,1,1,170581
Santa Monica,no,yes,1687,5,4,398475
Santa Monica,no,no,2073,3,2,574721
Long Beach,no,yes,2215,2,1,558778
Santa Monica,no,no,2088,6,5,606385
Santa Monica,no,yes,1678,1,1,451394
Santa Monica,yes,yes,1727,3,2,651577
Long Beach,yes,no,2179,4,3,553173
Westwood,no,yes,1757,1,1,696425
Westwood,no,no,1623,2,1,507771
Long Beach,no,no,1611,2,1,470755
Long Beach,no,yes,1697,2,1,248520
Santa Monica,no,yes,2304,3,2,799266
Santa Monica,no,yes,1284,1,1,349071
Westwood,no,no,1481,3,2,558907
Santa Monica,yes,yes,1411,3,2,858820
Santa Monica,no,yes,1661,3,2,682973
Westwood,yes,no,2195,3,2,554701
Santa Monica,no,yes,2435,2,1,1215944
Long Beach,yes,yes,1686,3,2,451918
Long Beach,no,yes,1662,3,2,292542
Long Beach,no,no,1163,3,2,250571
Santa Monica,no,yes,1306,1,1,375090
Long Beach,no,yes,2661,1,1,709917
Long Beach,no,yes,1685,3,2,517917
Long Beach,no,yes,1887,6,5,588948
Long Beach,yes,no,1916,2,1,849875
Santa Monica,no,yes,2081,1,1,653164
Santa Monica,no,no,2410,3,2,438229
Long Beach,no,yes,1866,3,2,383879
Long Beach,no,no,2616,4,3,887765
Long Beach,no,yes,1655,2,1,440357
Santa Monica,no,yes,1781,2,1,812752
Santa Monica,no,yes,1770,2,1,693342
Long Beach,no,yes,1936,2,1,443307
Westwood,no,yes,1829,2,1,817414
Westwood,no,yes,2048,3,2,371841
Long Beach,yes,yes,1721,1,1,429210
Santa Monica,no,no,1706,1,1,546257
Westwood,no,no,1546,2,1,768900
Long Beach,no,yes,1494,5,4,691879
Santa Monica,no,yes,1741,3,2,436434
Santa Monica,yes,yes,2102,4,3,895399
Santa Monica,no,yes,1796,4,3,756772
Westwood,yes,no,1849,3,2,585141
Santa Monica,no,yes,2136,2,1,845595
Long Beach,no,yes,1981,3,2,515077
Westwood,no,yes,2666,4,3,1117186
Long Beach,yes,no,1765,4,3,569342
Long Beach,no,no,2478,5,4,554012
Long Beach,no,yes,1782,4,3,713042
Long Beach,yes,yes,1777,3,2,211169
Long Beach,yes,no,2662,3,2,940011
Long Beach,no,yes,1918,4,3,284299
Long Beach,no,yes,1893,3,2,487900
Long Beach,yes,no,2344,3,2,544548
Westwood,no,yes,2344,2,1,932959
Westwood,no,yes,1688,2,1,546160
Westwood,no,no,2511,6,5,750364
Long Beach,no,no,2530,2,1,786842
Long Beach,no,yes,2271,5,4,651890
Long Beach,yes,yes,2204,5,4,550733
Long Beach,yes,yes,2181,3,2,712903
Santa Monica,no,yes,3238,2,1,993319
Long Beach,yes,no,2887,6,5,1076187
Westwood,no,yes,1134,3,2,186814
Long Beach,yes,yes,1359,2,1,455518
Long Beach,no,no,2565,5,4,617471
Westwood,no,yes,1594,1,1,228528
Santa Monica,no,yes,2250,2,1,754587
Westwood,no,yes,1409,2,1,525041
Santa Monica,no,yes,1998,1,1,956105
Westwood,no,yes,1564,3,2,296729
Long Beach,no,yes,2436,2,1,664205
Long Beach,no,no,2382,3,2,519700
Long Beach,yes,yes,1884,2,1,500529
Santa Monica,no,yes,1669,3,2,367899
Westwood,yes,yes,1721,1,1,204348
Santa Monica,yes,yes,1856,3,2,756379
Westwood,no,yes,2396,5,4,160147
Long Beach,no,no,1789,1,1,217492
Westwood,no,yes,2059,2,1,872505
Santa Monica,no,yes,1339,2,1,239315
Santa Monica,no,no,1700,2,1,743396
Long Beach,no,yes,1975,1,1,344862
Long Beach,no,no,2179,1,1,257774
Long Beach,no,no,1853,1,1,723636
Westwood,no,yes,2124,3,2,744650
Westwood,no,yes,1774,2,1,610524
Santa Monica,no,yes,2026,4,3,993185
Westwood,no,no,1983,3,2,216097
Long Beach,no,no,1580,4,3,315816
Santa Monica,yes,yes,1979,5,4,343686
Long Beach,yes,yes,2137,3,2,772520
Westwood,yes,yes,2179,5,4,687577
Santa Monica,yes,no,1578,3,2,420931
Long Beach,no,yes,1773,2,1,642867
Santa Monica,no,no,2348,2,1,1119376
Long Beach,no,yes,2603,6,5,605140
Westwood,no,yes,2129,3,2,775615
Santa Monica,no,yes,1952,2,1,504019
Long Beach,no,yes,1748,6,5,399048
Long Beach,no,no,1701,3,2,799024
Long Beach,no,yes,2455,2,1,547779
Long Beach,no,yes,2779,4,3,532037
Long Beach,no,yes,1586,2,1,172023
Westwood,yes,yes,1979,1,1,790341
Santa Monica,no,no,2042,5,4,524777
Santa Monica,no,yes,2308,5,4,731248
Long Beach,no,yes,1777,3,2,412068
Santa Monica,no,no,2587,3,2,932819
Santa Monica,no,yes,1999,3,2,1002070
Long Beach,no,yes,2367,5,4,169967
Long Beach,no,yes,2261,2,1,627562
Westwood,no,yes,1579,4,3,321868
Long Beach,no,yes,1928,1,1,685769
Westwood,no,yes,1586,3,2,314256
Long Beach,no,yes,2245,1,1,249706
Westwood,no,yes,2600,5,4,846221
Westwood,no,yes,2988,4,3,849534
Santa Monica,no,yes,2144,4,3,994113
Long Beach,no,yes,1384,4,3,590260
Long Beach,no,no,1902,2,1,440492
Long Beach,no,yes,1976,3,2,840761
Long Beach,no,yes,1507,4,3,217013
Santa Monica,yes,yes,2237,3,2,755980
Westwood,no,yes,2114,2,1,333983
Long Beach,no,yes,2326,4,3,393465
Santa Monica,yes,yes,2644,4,3,1049832
Long Beach,no,yes,2069,4,3,278545
Westwood,no,yes,1682,2,1,515705
Santa Monica,no,yes,1663,4,3,757511
Santa Monica,yes,no,1851,1,1,856493
Long Beach,no,yes,1832,4,3,804839
Santa Monica,no,yes,2089,2,1,791265
Long Beach,no,no,2609,5,4,922067
Long Beach,no,yes,2163,4,3,641127
Westwood,no,yes,1748,1,1,804473
Santa Monica,no,yes,1982,4,3,1092735
Long Beach,no,yes,1918,3,2,521267
Long Beach,yes,yes,1651,1,1,664683
Long Beach,no,yes,1657,2,1,576996
Westwood,yes,no,1182,2,1,240001
Santa Monica,no,yes,2466,6,5,872814
Westwood,no,yes,1906,3,2,867133
Santa Monica,no,yes,1378,2,1,482392
Long Beach,no,yes,1775,2,1,437484
Westwood,no,no,1922,2,1,828705
Santa Monica,no,yes,1586,4,3,319023
Santa Monica,yes,yes,2147,2,1,613546
Long Beach,no,no,1808,4,3,600160
Santa Monica,yes,yes,2366,2,1,1190003
Santa Monica,no,yes,1629,2,1,304258
Long Beach,no,yes,1833,3,2,399008
Long Beach,no,no,1789,1,1,217492
Long Beach,no,yes,1838,4,3,626669
Long Beach,no,yes,1819,4,3,182275
Long Beach,no,yes,1727,5,4,351206
Long Beach,no,no,2726,4,3,946551
Long Beach,yes,no,1920,4,3,174906
Long Beach,no,yes,2583,7,6,628261
Long Beach,no,no,2643,1,1,661476
Westwood,no,yes,2144,2,1,718963
Long Beach,yes,yes,2194,4,3,727161
Long Beach,no,yes,2151,2,1,431032
Long Beach,yes,yes,2292,3,2,807798
Long Beach,no,no,2203,9,8,613744
Santa Monica,no,yes,1900,1,1,486425
